kod_chu,DRUH,POSLEDNI_NALEZ
CZ0213068,Abramis brama,2016-05-05
CZ0213068,Blicca bjoerkna,2017-09-27
CZ0213068,Castor fiber,2022-02-25
CZ0213068,Cottus gobio,2004-01-01
CZ0213068,Leuciscus aspius,2020-09-16
CZ0213068,Lutra lutra,2025-07-10
CZ0213068,Myotis myotis,2023-09-23
CZ0213068,Ophiogomphus cecilia,2022-07-20
CZ0213068,Rhodeus amarus,2023-09-06
CZ0213068,Salmo trutta,2004-01-01
CZ0213068,Sanguisorba officinalis,2008-06-05
CZ0213068,Scardinius erythrophthalmus,2012-09-17
CZ0213068,Unio crassus,2022-08-07
CZ0213069,Lampetra planeri,2023-09-08
CZ0213069,Lutra lutra,2015-04-30
CZ0213069,Misgurnus fossilis,2023-09-07
CZ0213070,Osmoderma barnabita,2021-07-30
CZ0213071,Bombina bombina,2025-09-03
CZ0213071,Triturus cristatus,2024-06-15
CZ0213072,Osmoderma barnabita,2025-08-13
CZ0213072,Succisa pratensis,2009-08-28
CZ0213076,Abramis brama,2014-10-14
CZ0213076,Cottus gobio,2015-09-01
CZ0213076,Lampetra planeri,2023-10-22
CZ0213076,Lutra lutra,2015-05-19
CZ0213076,Rhodeus amarus,2019-06-20
CZ0213076,Salmo trutta,2022-10-13
CZ0213076,Scardinius erythrophthalmus,2019-06-20
CZ0213077,Bombina bombina,2024-06-17
CZ0213077,Lutra lutra,2022-06-03
CZ0213077,Triturus cristatus,2025-08-08
CZ0213078,Euplagia quadripunctaria,2007-08-07
CZ0213078,Sanguisorba officinalis,2010-08-16
CZ0213078,Spermophilus citellus,2016-07-06
CZ0213081,Bombina bombina,2025-08-04
CZ0213081,Lemna trisulca,2023-05-18
CZ0213081,Succisa pratensis,2004-06-01
CZ0213082,Bombina bombina,2025-07-02
CZ0213082,Sanguisorba officinalis,2015-08-05
CZ0213082,Succisa pratensis,2020-06-16
CZ0213082,Triturus cristatus,2025-07-02
CZ0213083,Abramis brama,2004-01-01
CZ0213083,Ameiurus nebulosus,2004-01-01
CZ0213083,Blicca bjoerkna,2004-01-01
CZ0213083,Castor fiber,2023-04-13
CZ0213083,Cucujus cinnaberinus,2025-11-28
CZ0213083,Lucanus cervus,2025-06-21
CZ0213083,Osmoderma barnabita,2022-08-13
CZ0213084,Bombina bombina,2025-09-03
