kod_chu,DRUH,KOD_LOKAL,POLE,HODNOCENE_OBDOBI_OD,HODNOCENE_OBDOBI_DO
CZ0724089,Aconitum firmum subsp. moravicum,AFM089,6576c,2023-08-07,2023-08-07
CZ0724089,Aconitum firmum subsp. moravicum,AFM090,6576a,2022-07-24,2022-07-24
CZ0724089,Aconitum firmum subsp. moravicum,AFM091,6576c,2024-08-19,2024-08-19
CZ0724089,Aconitum firmum subsp. moravicum,AFM092,6576a,2024-08-15,2024-08-15
CZ0724089,Aconitum firmum subsp. moravicum,AFM093,6576a,2022-07-24,2024-08-15
CZ0724089,Aconitum firmum subsp. moravicum,AFM094,6576a,2021-08-12,2025-08-15
CZ0724089,Aconitum firmum subsp. moravicum,AFM095,6576a,2023-08-02,2023-08-02
CZ0724089,Aconitum firmum subsp. moravicum,AFM096,6576a,2021-08-11,2025-08-13
CZ0724089,Aconitum firmum subsp. moravicum,AFM097,6576a,2023-07-27,2023-07-27
CZ0724089,Aconitum firmum subsp. moravicum,AFM098a,6576d,2022-07-24,2024-08-15
CZ0724089,Aconitum firmum subsp. moravicum,AFM098b,6576d,2024-08-15,2024-08-15
CZ0724089,Aconitum firmum subsp. moravicum,AFM099,6576d,2022-07-24,2024-08-15
CZ0724089,Aconitum firmum subsp. moravicum,AFM099a,6576d,2024-08-15,2024-08-15
CZ0724089,Aconitum firmum subsp. moravicum,AFM10,6576a,2006-05-12,2006-05-12
CZ0724089,Aconitum firmum subsp. moravicum,AFM100,6476c,2024-08-25,2024-08-25
CZ0724089,Aconitum firmum subsp. moravicum,AFM101,6476c,2021-08-25,2025-08-20
CZ0724089,Aconitum firmum subsp. moravicum,AFM103,6576a,2021-08-11,2025-08-03
CZ0724089,Aconitum firmum subsp. moravicum,AFM104,6576d,2022-08-01,2022-08-01
CZ0724089,Aconitum firmum subsp. moravicum,AFM105,6474d,2022-07-31,2024-08-12
CZ0724089,Aconitum firmum subsp. moravicum,AFM106,6474d,2022-07-31,2024-08-12
CZ0724089,Aconitum firmum subsp. moravicum,AFM107,6474d,2023-07-31,2023-07-31
CZ0724089,Aconitum firmum subsp. moravicum,AFM108,6474d,2021-08-10,2021-08-10
CZ0724089,Aconitum firmum subsp. moravicum,AFM109,6474d,2021-08-10,2023-07-31
CZ0724089,Aconitum firmum subsp. moravicum,AFM110,6575a,2022-08-01,2022-08-01
CZ0724089,Aconitum firmum subsp. moravicum,AFM111,6476c,2021-07-24,2023-08-03
CZ0724089,Aconitum firmum subsp. moravicum,AFM111a,6476c,2021-07-24,2023-08-03
CZ0724089,Aconitum firmum subsp. moravicum,AFM112,6476c,2023-08-03,2023-08-03
CZ0724089,Aconitum firmum subsp. moravicum,AFM113,6476c,2022-08-03,2025-08-20
CZ0724089,Aconitum firmum subsp. moravicum,AFM114,6476c,2021-08-25,2025-08-15
CZ0724089,Aconitum firmum subsp. moravicum,AFM115,6476c,2022-08-23,2022-08-23
CZ0724089,Aconitum firmum subsp. moravicum,AFM116,6576a,2022-08-04,2022-08-04
CZ0724089,Aconitum firmum subsp. moravicum,AFM117,6575b,2022-08-01,2022-08-01
CZ0724089,Aconitum firmum subsp. moravicum,AFM118,6476c,2024-08-25,2024-08-25
CZ0724089,Aconitum firmum subsp. moravicum,AFM119,6476c,2023-08-03,2023-08-03
CZ0724089,Aconitum firmum subsp. moravicum,AFM120,6476c,2021-08-25,2025-08-03
CZ0724089,Aconitum firmum subsp. moravicum,AFM121,6576a,2024-08-24,2024-08-24
CZ0724089,Aconitum firmum subsp. moravicum,AFM122,6576b,2021-08-12,2025-08-15
CZ0724089,Aconitum firmum subsp. moravicum,AFM124,6575b,2023-07-31,2023-07-31
CZ0724089,Aconitum firmum subsp. moravicum,AFM125,6575b,2023-07-31,2023-07-31
CZ0724089,Aconitum firmum subsp. moravicum,AFM126,6575b,2022-08-01,2022-08-01
