kod_chu,DRUH,KOD_LOKAL,POLE,ROK,ID_IND,SKUPINA,NAZEV_LOK,ID_ND_AKCE,ID_ND_LOK,DATUM,CILMON,TYP_IND,KLIC,UROVEN,IND_GRP,JEDNOTKA,LIM_IND,LIM_INDLIST,STAV_IND,HOD_IND
CZ0214003,Rhinolophus hipposideros,jeskyně Zlomená,6050c,2016,CELKOVE_HODNOCENI,Letouni,jeskyně Zlomená,9639714,998552,2016-02-02,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0214003,Rhinolophus hipposideros,jeskyně Zlomená,6050c,2016,CELKOVE_SUM,Letouni,jeskyně Zlomená,9639714,998552,2016-02-02,0,NA,NA,NA,NA,NA,,,NA,1
CZ0214003,Rhinolophus hipposideros,jeskyně Zlomená,6050c,2016,POP_PRESENCE,Letouni,jeskyně Zlomená,9639714,998552,2016-02-02,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0214003,Rhinolophus hipposideros,jeskyně Žába,6050c,2014,CELKOVE_HODNOCENI,Letouni,jeskyně Žába,9371253,5668042,2014-01-29,1,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0214003,Rhinolophus hipposideros,jeskyně Žába,6050c,2014,CELKOVE_SUM,Letouni,jeskyně Žába,9371253,5668042,2014-01-29,1,NA,NA,NA,NA,NA,,,NA,1
CZ0214003,Rhinolophus hipposideros,jeskyně Žába,6050c,2014,POP_PRESENCE,Letouni,jeskyně Žába,9371253,5668042,2014-01-29,1,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0214012,Rhinolophus hipposideros,Branžež,5456c,2021,CELKOVE_HODNOCENI,Letouni,Branžež,"11747977, 11748677",8277711,2021-09-09,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0214012,Rhinolophus hipposideros,Branžež,5456c,2021,CELKOVE_SUM,Letouni,Branžež,"11747977, 11748677",8277711,2021-09-09,0,NA,NA,NA,NA,NA,,,NA,1
CZ0214012,Rhinolophus hipposideros,Branžež,5456c,2021,POP_PRESENCE,Letouni,Branžež,"11747977, 11748677",8277711,2021-09-09,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0214012,Rhinolophus hipposideros,Dneboh,5456c,2021,CELKOVE_HODNOCENI,Letouni,Dneboh,"11746061, 11747954",8273607,2021-10-07,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0214012,Rhinolophus hipposideros,Dneboh,5456c,2021,CELKOVE_SUM,Letouni,Dneboh,"11746061, 11747954",8273607,2021-10-07,0,NA,NA,NA,NA,NA,,,NA,1
CZ0214012,Rhinolophus hipposideros,Dneboh,5456c,2021,POP_PRESENCE,Letouni,Dneboh,"11746061, 11747954",8273607,2021-10-07,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0214012,Rhinolophus hipposideros,EVL Příhrazské skála - B5 Krtola,5456c,2015,CELKOVE_HODNOCENI,Letouni,EVL Příhrazské skála - B5 Krtola,"9547035, 9547075",5835685,2015-07-06,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0214012,Rhinolophus hipposideros,EVL Příhrazské skála - B5 Krtola,5456c,2015,CELKOVE_SUM,Letouni,EVL Příhrazské skála - B5 Krtola,"9547035, 9547075",5835685,2015-07-06,0,NA,NA,NA,NA,NA,,,NA,1
