kod_chu,DRUH,POLE,POSLEDNI_NALEZ
CZ0210152,Ameiurus nebulosus,5753a,2016-10-25
CZ0210152,Ameiurus nebulosus,5753c,2016-10-25
CZ0210152,Ameiurus nebulosus,"96,""5753c""",2004-01-01
CZ0210152,Blicca bjoerkna,5753a,2004-01-01
CZ0210152,Blicca bjoerkna,5753c,2016-10-25
CZ0210152,Blicca bjoerkna,5753d,2016-10-25
CZ0210152,Blicca bjoerkna,"96,""5753c""",2004-01-01
CZ0210152,Bombina bombina,5753a,2024-05-08
CZ0210152,Bombina bombina,5753c,2024-06-26
CZ0210152,Castor fiber,5753a,2020-02-16
CZ0210152,Castor fiber,5753c,2018-05-21
CZ0210152,Cucujus cinnaberinus,5753a,2021-02-13
CZ0210152,Cucujus cinnaberinus,5753c,2025-09-30
CZ0210152,Cucujus cinnaberinus,5753d,2024-08-20
CZ0210152,Lemna trisulca,"31,""5753c""",2022-07-20
CZ0210152,Lemna trisulca,"97,""5753a""",2025-05-12
CZ0210152,Lemna trisulca,"97,""5753c""",2022-08-25
CZ0210152,Leuciscus aspius,5753a,2004-01-01
CZ0210152,Leuciscus aspius,5753c,2004-01-01
CZ0210152,Leuciscus aspius,"96,""5753c""",2004-01-01
CZ0210152,Lycaena dispar,5753c,2021-08-11
CZ0210152,Lycaena dispar,5753d,2025-07-20
CZ0210152,Phengaris nausithous,5753a,2021-07-28
CZ0210152,Phengaris nausithous,5753c,2025-08-13
CZ0210152,Phengaris nausithous,5753d,2025-08-11
CZ0210152,Phengaris teleius,5753a,2021-07-28
CZ0210152,Phengaris teleius,5753d,2021-07-28
CZ0210152,Sanguisorba officinalis,5753a,2025-07-18
CZ0210152,Sanguisorba officinalis,5753c,2024-05-20
CZ0210152,Sanguisorba officinalis,5753d,2025-05-12
CZ0210152,Sanguisorba officinalis,"61,""5753a""",2025-05-12
CZ0210152,Sanguisorba officinalis,"97,""5753a""",2025-05-12
CZ0210152,Scardinius erythrophthalmus,5753a,2016-10-25
CZ0210152,Scardinius erythrophthalmus,5753c,2016-07-04
CZ0210152,Scardinius erythrophthalmus,5753d,2016-10-25
CZ0210152,Scardinius erythrophthalmus,"96,""5753c""",2004-01-01
CZ0210152,Succisa pratensis,5753a,2021-08-25
CZ0210152,Succisa pratensis,"97,""5753a""",2025-05-12
CZ0210152,Triturus cristatus,5753c,2024-06-26
CZ0210153,Cerambyx cerdo,6052c,2009-06-01
CZ0210153,Cucujus cinnaberinus,6052c,2014-05-03
CZ0210153,Euplagia quadripunctaria,6052c,2019-07-20
CZ0210153,Hipparchia semele,NA,2004-01-01
CZ0210153,Lucanus cervus,6052c,2015-04-01
CZ0210172,Bombina bombina,5754d,2024-04-08
CZ0210172,Bombina bombina,5755c,2024-05-09
CZ0210172,Bombina bombina,"62,""5754d""",2025-05-20
CZ0210172,Bombina bombina,"91,""5754d""",2014-03-23
CZ0210172,Hamatocaulis vernicosus,"44,""5755c""",2001-01-01
CZ0210172,Hipparchia semele,NA,1995-01-01
CZ0210172,Lemna trisulca,5754d,2022-06-22
CZ0210172,Leucorrhinia pectoralis,5754d,2021-06-28
CZ0210172,Leucorrhinia pectoralis,"91,""5754d""",2015-03-15
CZ0210172,Lycaena dispar,5754d,2024-07-22
CZ0210172,Misgurnus fossilis,5754d,2013-10-24
CZ0210172,Phengaris nausithous,"1,""5754d""",2023-07-14
CZ0210172,Phengaris nausithous,"45,""5755c""",2022-07-14
CZ0210172,Phengaris nausithous,5754d,2023-08-03
CZ0210172,Phengaris nausithous,5755c,2021-08-06
CZ0210172,Phengaris teleius,"1,""5754d""",2023-07-14
CZ0210172,Phengaris teleius,5754d,2023-08-03
CZ0210172,Sanguisorba officinalis,"04,""5754d""",2008-06-13
CZ0210172,Sanguisorba officinalis,"11,""5755c""",2021-05-28
CZ0210172,Sanguisorba officinalis,"26,""5754d""",2021-05-28
CZ0210172,Sanguisorba officinalis,"28,""5754d""",2008-07-15
CZ0210172,Sanguisorba officinalis,"44,""5755c""",2005-01-01
CZ0210172,Sanguisorba officinalis,"45,""5755c""",2008-06-13
CZ0210172,Sanguisorba officinalis,5754d,2023-08-03
CZ0210172,Sanguisorba officinalis,5755c,2022-06-22
CZ0210172,Sanguisorba officinalis,"58,""5754d""",2008-06-13
CZ0210172,Succisa pratensis,"04,""5754d""",2008-06-13
CZ0210172,Succisa pratensis,"11,""5755c""",2021-05-28
CZ0210172,Succisa pratensis,"26,""5754d""",2021-05-28
CZ0210172,Succisa pratensis,"44,""5755c""",2005-01-01
CZ0210172,Succisa pratensis,"45,""5755c""",2008-06-13
CZ0210172,Succisa pratensis,5755c,2022-06-14
CZ0210172,Triturus cristatus,5754d,2020-07-30
CZ0210172,Triturus cristatus,5755c,2023-05-31
CZ0210172,Triturus cristatus,"62,""5754d""",2025-05-20
CZ0210172,Vertigo angustior,5754d,2012-08-06
CZ0210175,Bombina bombina,"16,""5758a""",2022-07-20
CZ0210175,Bombina bombina,5658c,2014-06-28
CZ0210175,Bombina bombina,5758a,2004-06-07
CZ0210175,Bombina bombina,5758c,2002-01-01
CZ0210175,Lemna trisulca,5758a,2005-05-13
CZ0210175,Leucorrhinia pectoralis,5758a,2025-05-29
CZ0210175,Lucanus cervus,5758a,2018-07-31
CZ0210175,Lucanus cervus,5758c,2017-07-07
CZ0210175,Lycaena dispar,5758a,2018-07-31
CZ0210175,Succisa pratensis,5758a,2014-06-23
CZ0210175,Succisa pratensis,5758c,2017-07-07
CZ0210186,Abramis brama,5652d,2004-01-01
CZ0210186,Abramis brama,5753a,2004-01-01
CZ0210186,Ameiurus melas,5652d,2007-04-01
CZ0210186,Ameiurus nebulosus,5652d,2010-07-14
CZ0210186,Ameiurus nebulosus,5753a,2004-01-01
CZ0210186,Blicca bjoerkna,5652d,2010-11-14
CZ0210186,Blicca bjoerkna,5753a,2004-01-01
CZ0210186,Castor fiber,5652d,2025-05-10
CZ0210186,Castor fiber,5753a,2022-04-01
CZ0210186,Castor fiber,"59,""5652d""",2023-08-03
CZ0210186,Cucujus cinnaberinus,5652d,2021-06-04
CZ0210186,Cucujus cinnaberinus,5752b,2021-06-04
CZ0210186,Cucujus cinnaberinus,5753a,2014-06-15
CZ0210186,Lemna trisulca,5753a,2021-05-21
CZ0210186,Leuciscus aspius,5652d,2004-01-01
CZ0210186,Leuciscus aspius,5753a,2014-10-20
CZ0210186,Lucanus cervus,"04,""5652d""",2019-06-04
CZ0210186,Lucanus cervus,5652d,2022-06-11
CZ0210186,Lucanus cervus,5752b,2024-06-08
CZ0210186,Lucanus cervus,5753a,2011-05-01
CZ0210186,Lucanus cervus,"74,""5753a""",2011-05-01
CZ0210186,Lutra lutra,5752b,2006-11-16
CZ0210186,Lutra lutra,5753a,2000-10-27
CZ0210186,Phengaris nausithous,"27,""5752b""",2023-08-03
CZ0210186,Phengaris nausithous,5652d,2023-08-03
CZ0210186,Phengaris nausithous,5752b,2021-07-28
CZ0210186,Phengaris nausithous,"89,""5752b""",2021-07-28
CZ0210186,Phengaris teleius,5652d,2020-07-17
CZ0210186,Phengaris teleius,5752b,2021-07-28
CZ0210186,Phengaris teleius,"89,""5752b""",2021-07-28
CZ0210186,Rhodeus amarus,5652d,2011-05-01
CZ0210186,Sanguisorba officinalis,"11,""5652d""",2020-07-21
CZ0210186,Sanguisorba officinalis,"18,""5753a""",2020-08-08
CZ0210186,Sanguisorba officinalis,"27,""5752b""",2023-08-03
CZ0210186,Sanguisorba officinalis,"46,""5653c""",2010-10-12
CZ0210186,Sanguisorba officinalis,"5,""5752b""",2023-08-03
CZ0210186,Sanguisorba officinalis,5652d,2025-11-06
CZ0210186,Sanguisorba officinalis,5653c,2010-10-12
CZ0210186,Sanguisorba officinalis,5752b,2023-07-27
CZ0210186,Sanguisorba officinalis,5753a,2023-07-28
CZ0210186,Sanguisorba officinalis,"58,""5652d""",2020-08-20
CZ0210186,Sanguisorba officinalis,"64,""5753a""",2010-09-27
CZ0210186,Sanguisorba officinalis,"67,""5752b""",2010-10-20
CZ0210186,Sanguisorba officinalis,"81,""5752b""",2020-08-12
CZ0210186,Sanguisorba officinalis,"96,""5752b""",2020-07-23
CZ0210186,Sanguisorba officinalis,"97,""5652d""",2010-09-27
CZ0210186,Scardinius erythrophthalmus,5753a,2014-10-20
CZ0210186,Succisa pratensis,5652d,2025-11-06
CZ0210186,Succisa pratensis,"88,""5752b""",2000-08-15
CZ0210186,Triturus cristatus,5652d,2011-04-30
CZ0210409,Austropotamobius torrentium,6051b,2024-08-13
CZ0210409,Barbastella barbastellus,6051b,2019-08-24
CZ0210409,Euplagia quadripunctaria,6051b,2020-07-30
CZ0210409,Hipparchia semele,NA,2009-08-01
CZ0210409,Lucanus cervus,6051b,2021-07-05
CZ0210421,Barbastella barbastellus,6050d,2012-02-07
CZ0210421,Barbastella barbastellus,6150b,2011-01-22
CZ0210421,Euplagia quadripunctaria,6150b,2008-07-29
CZ0210421,Hipparchia semele,NA,2010-07-20
CZ0210421,Myotis myotis,6050d,2012-02-07
CZ0210421,Myotis sp.,6150b,2008-02-01
CZ0210421,Rhinolophus hipposideros,6050d,2015-02-06
CZ0210421,Rhinolophus hipposideros,6150b,2015-02-06
CZ0210704,Euplagia quadripunctaria,6048b,2021-08-25
CZ0210708,Euplagia quadripunctaria,5949c,2004-03-19
CZ0210708,Lucanus cervus,"01,""5949c""",2009-06-01
CZ0210708,Lucanus cervus,5949c,2024-12-14
CZ0210708,Osmoderma barnabita,"01,""5949c""",2009-06-01
CZ0210708,Vertigo angustior,5949c,2004-07-07
CZ0210713,Lucanus cervus,5855c,2024-06-16
CZ0210713,Sanguisorba officinalis,5855c,2020-08-28
CZ0210713,Succisa pratensis,5855a,2025-05-23
CZ0210714,Abramis brama,5957d,2016-10-05
CZ0210714,Abramis brama,5958c,2016-10-05
