typ_predmetu_hodnoceni;kod_chu;nazev_chu;druh;feature_code;hodnocene_obdobi_od;hodnocene_obdobi_do;oop;parametr_nazev;parametr_hodnota;parametr_limit;parametr_jednotka;stav;trend;datum_hodnoceni;pracoviste;ind_nadr;metodika
Druh;CZ0623359;Čekál;Bombina bombina;1188;2022-05-04;2024-07-05;Krajský úřad Jihomoravského kraje;130;100;NA;% lokalit v dobrém stavu;nehodnocen;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623359;Čekál;Bombina bombina;1188;2022-05-04;2024-07-05;Krajský úřad Jihomoravského kraje;131;2;NA;počet dílčích lokalit;nehodnocen;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623359;Čekál;Bombina bombina;1188;2022-05-04;2024-07-05;Krajský úřad Jihomoravského kraje;10;NA;NA;hodnocení dílčích parametrů;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0813439;Děhylovský potok - Štěpán;Bombina bombina;1188;2022-05-02;2024-10-18;Krajský úřad Moravskoslezského kraje;27;16.67;50;% lokalit v dobrém stavu;špatný;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813439;Děhylovský potok - Štěpán;Bombina bombina;1188;2022-05-02;2024-10-18;Krajský úřad Moravskoslezského kraje;21;11;NA;volající samci;nehodnocen;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813439;Děhylovský potok - Štěpán;Bombina bombina;1188;2022-05-02;2024-10-18;Krajský úřad Moravskoslezského kraje;22;50;NA;volající samci;nehodnocen;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813439;Děhylovský potok - Štěpán;Bombina bombina;1188;2022-05-02;2024-10-18;Krajský úřad Moravskoslezského kraje;80;33.33;50;% lokalit v dobrém stavu;špatný;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813439;Děhylovský potok - Štěpán;Bombina bombina;1188;2022-05-02;2024-10-18;Krajský úřad Moravskoslezského kraje;30;NA;50;% lokalit v dobrém stavu;neznámý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813439;Děhylovský potok - Štěpán;Bombina bombina;1188;2022-05-02;2024-10-18;Krajský úřad Moravskoslezského kraje;31;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813439;Děhylovský potok - Štěpán;Bombina bombina;1188;2022-05-02;2024-10-18;Krajský úřad Moravskoslezského kraje;32;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813439;Děhylovský potok - Štěpán;Bombina bombina;1188;2022-05-02;2024-10-18;Krajský úřad Moravskoslezského kraje;33;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
