.target_id;SITECODE;HABITAT_CODE;status;elapsed_sec;error_message
661;CZ0520507;8210;ok;2,83408164978027e-03;
662;CZ0520507;9130;ok;3,33332085609436e+00;
663;CZ0520507;9180;ok;1,84721612930298e+00;
664;CZ0510164;9130;ok;3,76533818244934e+00;
665;CZ0510164;9170;ok;4,26445031166077e+00;
666;CZ0510164;9180;ok;1,86920642852783e+00;
667;CZ0510164;91E0;ok;3,18969631195068e+00;
668;CZ0310073;3130;ok;2,51483917236328e-03;
669;CZ0530146;4060;ok;2,49958038330078e-03;
670;CZ0530146;6150;ok;2,45547294616699e-03;
671;CZ0530146;6430;ok;2,47836112976074e-03;
672;CZ0530146;7110;ok;2,49814987182617e-03;
673;CZ0530146;8110;ok;2,39396095275879e-03;
674;CZ0530146;8220;ok;2,37226486206055e-03;
675;CZ0530146;8310;ok;3,98128986358643e-01;
676;CZ0530146;9110;ok;4,52623295783997e+00;
677;CZ0530146;9410;ok;3,41215181350708e+00;
678;CZ0530146;91D0;ok;1,31572389602661e+00;
679;CZ0710161;9170;ok;4,92765951156616e+00;
680;CZ0710161;91F0;ok;1,73682451248169e+00;
681;CZ0410401;7110;ok;2,40802764892578e-03;
682;CZ0410401;7120;ok;2,33626365661621e-03;
683;CZ0410401;7140;ok;2,33483314514160e-03;
684;CZ0410401;9410;ok;2,03232550621033e+00;
685;CZ0410401;91D0;ok;1,29228019714355e+00;
686;CZ0534053;6510;ok;2,55012512207031e-03;
687;CZ0534053;8220;ok;2,49814987182617e-03;
688;CZ0534053;9110;ok;4,87357664108276e+00;
689;CZ0534053;9130;ok;3,73416996002197e+00;
690;CZ0534053;9180;ok;2,32943034172058e+00;
691;CZ0524044;4030;ok;2,86698341369629e-03;
692;CZ0524044;4060;ok;2,75635719299316e-03;
693;CZ0524044;4070;ok;2,78019905090332e-03;
694;CZ0524044;4080;ok;2,77256965637207e-03;
695;CZ0524044;6150;ok;2,74920463562012e-03;
696;CZ0524044;6230;ok;2,75015830993652e-03;
697;CZ0524044;6430;ok;2,70485877990723e-03;
698;CZ0524044;6510;ok;2,69126892089844e-03;
699;CZ0524044;6520;ok;2,64763832092285e-03;
700;CZ0524044;7110;ok;2,70152091979980e-03;
701;CZ0524044;7140;ok;2,75468826293945e-03;
702;CZ0524044;8110;ok;2,69794464111328e-03;
703;CZ0524044;8220;ok;2,70414352416992e-03;
704;CZ0524044;8310;ok;2,73919105529785e-03;
705;CZ0524044;9110;ok;1,59961861610413e+02;
706;CZ0524044;9130;ok;1,50805234670639e+02;
707;CZ0524044;9140;ok;1,46370326757431e+02;
708;CZ0524044;9180;ok;1,42467115640640e+02;
709;CZ0524044;9410;ok;1,54796409606934e+02;
710;CZ0524044;91D0;ok;1,39766980171204e+02;
711;CZ0524044;91E0;ok;1,45597270011902e+02;
712;CZ0210107;9150;ok;8,10537576675415e-01;
713;CZ0210107;9180;ok;1,79895544052124e+00;
714;CZ0210107;91I0;ok;9,13140535354614e-01;
715;CZ0624128;6110;ok;2,90536880493164e-03;
716;CZ0624128;6190;ok;2,92015075683594e-03;
717;CZ0624128;6240;ok;2,86912918090820e-03;
718;CZ0624128;8220;ok;2,74324417114258e-03;
719;CZ0624128;40A0;ok;2,68054008483887e-03;
720;CZ0624064;6410;ok;2,77376174926758e-03;
721;CZ0624064;9170;ok;6,67418837547302e+00;
722;CZ0624064;91G0;ok;1,74502420425415e+00;
723;CZ0624064;91I0;ok;1,72851419448853e+00;
724;CZ0414110;4030;ok;2,59327888488770e-03;
725;CZ0414110;6230;ok;2,53534317016602e-03;
726;CZ0414110;6520;ok;2,47478485107422e-03;
727;CZ0414110;7110;ok;2,48146057128906e-03;
728;CZ0414110;7140;ok;2,47716903686523e-03;
729;CZ0414110;8220;ok;2,45785713195801e-03;
730;CZ0414110;9140;ok;2,35660502910614e+01;
731;CZ0414110;9410;ok;4,73299994468689e+01;
732;CZ0414110;91D0;ok;2,90541303157806e+01;
733;CZ0420406;6110;ok;2,94137001037598e-03;
734;CZ0420406;6210;ok;3,03220748901367e-03;
735;CZ0420406;40A0;ok;3,03506851196289e-03;
736;CZ0420406;6210p;ok;3,18527221679688e-03;
737;CZ0210409;6190;ok;3,09872627258301e-03;
738;CZ0210409;8160;ok;3,08775901794434e-03;
739;CZ0210409;9170;ok;4,75587248802185e+00;
740;CZ0210409;9180;ok;1,77414512634277e+00;
741;CZ0210409;91H0;ok;7,96901226043701e-01;
742;CZ0624101;6240;ok;3,01027297973633e-03;
743;CZ0624101;91G0;ok;1,89752936363220e+00;
744;CZ0624101;91I0;ok;1,60165715217590e+00;
745;CZ0624065;6240;ok;2,78544425964355e-03;
746;CZ0624065;8310;ok;2,71034240722656e-03;
747;CZ0624065;9150;ok;8,71325731277466e-01;
748;CZ0624065;9170;ok;4,89647984504700e+00;
749;CZ0624065;9180;ok;1,80279636383057e+00;
750;CZ0624065;91H0;ok;8,43716859817505e-01;
751;CZ0213039;3150;ok;2,76112556457520e-03;
752;CZ0424111;3260;ok;2,71987915039062e-03;
753;CZ0424111;3270;ok;2,71773338317871e-03;
