TYP_CHU;SITECODE;HABITAT_CODE;ROZLOHA_PASEKY;ROZLOHA_HOLINY;POCET_SEGMENTU_PASEKY;DATUM_VYPOCTU
EVL;CZ0310080;7140;;;;2026-09-24
EVL;CZ0310080;7150;;;;2026-09-24
EVL;CZ0620003;6210;;;;2026-09-24
EVL;CZ0210101;3130;;;;2026-09-24
EVL;CZ0210101;3150;;;;2026-09-24
EVL;CZ0210101;6410;;;;2026-09-24
EVL;CZ0210101;6510;;;;2026-09-24
EVL;CZ0210101;7230;;;;2026-09-24
EVL;CZ0210101;9170;1,24499251736605e+02;18,29723867763921;249;2026-09-24
EVL;CZ0210101;9190;1,52501513591671e+01;3,69363852486730;49;2026-09-24
EVL;CZ0210101;91E0;6,72534132168489e-01;0,00000000000000;4;2026-09-24
EVL;CZ0210101;91H0;1,37181331118694e+00;0,00000000000000;7;2026-09-24
EVL;CZ0210101;91I0;1,18445950585417e-01;0,00000000000000;1;2026-09-24
EVL;CZ0420044;6210;;;;2026-09-24
EVL;CZ0310001;9110;1,21815580813690e+00;0,00000000000000;11;2026-09-24
EVL;CZ0310001;9130;4,40303391600028e-04;0,00000000000000;1;2026-09-24
EVL;CZ0620004;4030;;;;2026-09-24
EVL;CZ0620004;40A0;;;;2026-09-24
EVL;CZ0620004;6210p;;;;2026-09-24
EVL;CZ0420074;7110;;;;2026-09-24
EVL;CZ0420074;7140;;;;2026-09-24
EVL;CZ0420074;91D0;2,65922664357943e-01;0,00000000000000;2;2026-09-24
EVL;CZ0610025;9130;4,79949723527057e-01;0,00000000000000;8;2026-09-24
EVL;CZ0610025;9170;1,92405627767893e-01;0,00000000000000;6;2026-09-24
EVL;CZ0714084;8220;;;;2026-09-24
EVL;CZ0714084;9110;3,68020582947843e+00;0,00000000000000;8;2026-09-24
EVL;CZ0714084;9130;9,41019069261257e+00;0,00000000000000;38;2026-09-24
EVL;CZ0310070;5130;;;;2026-09-24
EVL;CZ0610516;6230;;;;2026-09-24
EVL;CZ0524050;3150;;;;2026-09-24
