SITECODE,HABITAT_CODE,ID_IND,TYP_IND,LIM_IND,ZDROJ,rowname
CZ0310035,3150,ROZLOHA,min,0.84,VMB2,376
CZ0310035,3260,ROZLOHA,min,26.26,VMB2,377
CZ0310057,6230,ROZLOHA,min,9.55,VMB2,378
CZ0310057,7110,ROZLOHA,min,8.1,VMB2,379
CZ0310057,7140,ROZLOHA,min,10.02,VMB2,380
CZ0310057,91D0,ROZLOHA,min,42.03,VMB2,381
CZ0310057,9410,ROZLOHA,min,41.24,VMB2,382
CZ0310063,6110,ROZLOHA,min,0.06,EXPERT,383
CZ0310067,91U0,ROZLOHA,min,16.1,SDF,384
CZ0310070,5130,ROZLOHA,min,3.9,EXPERT,385
CZ0310073,3130,ROZLOHA,min,0.79,EXPERT,386
CZ0310074,3130,ROZLOHA,min,3.16,SDF,387
CZ0310074,3150,ROZLOHA,min,26.54,SDF,388
CZ0310080,7140,ROZLOHA,min,1.42,VMB2,389
CZ0310080,7150,ROZLOHA,min,0.6,VMB2,390
CZ0310084,6110,ROZLOHA,min,0.19,EXPERT,391
CZ0310084,6210,ROZLOHA,min,2,MINIMI,392
CZ0310084,8210,ROZLOHA,min,0.5,EXPERT,393
CZ0310163,9110,ROZLOHA,min,119.24,VMB2,394
CZ0310163,9130,ROZLOHA,min,117.94,VMB2,395
CZ0310163,9410,ROZLOHA,min,34.34,VMB2,396
CZ0310605,91D0,ROZLOHA,min,316.81,VMB2,397
CZ0310610,7120,ROZLOHA,min,11.11,VMB2,398
CZ0310610,91D0,ROZLOHA,min,365.03,VMB2,399
CZ0310611,7140,ROZLOHA,min,2,MINIMI,400
CZ0310611,91D0,ROZLOHA,min,91.62,VMB2,401
CZ0310615,2330,ROZLOHA,min,1.27,VMB2,402
CZ0310618,3150,ROZLOHA,min,4.9,VMB2,403
CZ0310629,3140,ROZLOHA,min,0.11,N/A,404
CZ0310629,3160,ROZLOHA,min,0.35,VMB2,405
CZ0310630,3140,ROZLOHA,min,0.07,N/A,406
CZ0313098,3160,ROZLOHA,min,0.12,VMB2,407
CZ0313098,7140,ROZLOHA,min,2.27,SDF,408
CZ0313128,7150,ROZLOHA,min,0.83,VMB2,409
CZ0313138,3150,ROZLOHA,min,92.42,SDF,410
CZ0313138,6410,ROZLOHA,min,26.22,VMB2,411
CZ0313513,7110,ROZLOHA,min,2.19,SDF,412
CZ0313513,91D0,ROZLOHA,min,19.18,VMB2,413
CZ0314019,3140,ROZLOHA,min,1.58,SDF,414
CZ0314021,3160,ROZLOHA,min,0.24,SDF,415
CZ0314021,6410,ROZLOHA,min,80.26,EXPERT,416
CZ0314021,7140,ROZLOHA,min,26.02,VMB2,417
CZ0314021,91D0,ROZLOHA,min,95.8,EXPERT,418
CZ0314021,91T0,ROZLOHA,min,16.18,N/A,419
CZ0314022,3140,ROZLOHA,min,0.07,N/A,420
CZ0314022,3260,ROZLOHA,min,15.69,VMB2,421
CZ0314022,9110,ROZLOHA,min,176.36,VMB2,422
