SITECODE,NAZEV,HABITAT_CODE,ROZLOHA,KVALITA,TYPICKE_DRUHY,REPRE,REPRE_SDF,CONSERVATION,DEGREE_OF_CONSERVATION,MRTVE_DREVO,KALAMITA_POLOM,RELATIVE_AREA_PERC,EVL_AREA_PERC,GOOD_DOC_AREA_HA,W_AREA_HA,W_AREA_PERC,PASEKY_AREA_HA,PASEKY_AREA_PERC,DEGRAD_AREA_HA,DEGRAD_AREA_PERC,PERC_0,PERC_1,PERC_2,DATE_MIN,DATE_MAX,DATE_MEAN,DATE_MEDIAN
CZ0314023,Třeboňsko - střed,9190,134.3270649482099,3.233834906976511,2.5432555026564216,0.6754449970343402,3.2747577201553897,2.574022371838129,40.57884589891549,0.39251156316923563,0,1.4348375170500927e-8,3.3351060839413202,54.508372685870214,73.04911327478692,54.381530113049934,1.27137026215879,0.9464736407729667,74.32048353694572,55.328003753822905,0,12.45976773125154,86.59375862797552,2011-09-07,2024-04-09,2013-10-10,2013-08-17
CZ0314023,Třeboňsko - střed,91E0,105.8874083060316,3.2565272734781177,2.5926147698541966,1.1786399694466074,3.052745088488958,2.5049362344727895,46.66318180290732,0.6232190299212595,0,1.1888233820969668e-9,2.6289991506207686,50.12151395035243,37.110840394954124,35.047453695058664,0,0,37.110840394954124,35.047453695058664,0,11.095669510290206,88.90433048970979,2011-09-08,2024-05-16,2017-07-29,2014-08-23
CZ0314023,Třeboňsko - střed,91F0,178.5673409345512,2.2011676025379394,2.1781633218697403,1.6727978916803299,2.3755584435706147,1.8385383035181435,82.12572701332108,1.5234005052968345,0,7.324041099428637e-9,4.433514760213496,146.64972695085586,18.07534028096907,10.12242226734735,0.128241766745048,0.07181703332416838,18.203582047714118,10.19423930067152,0,1.4897406399365059,98.43844232673933,2011-09-07,2017-08-20,2014-04-06,2013-08-18
CZ0210047,Třemšín a Hřebence,8220,3.6052454997462666,1.2678285594714698,2.9770128642708786,2.0000000000000004,2.9770128642708786,1.2678285594714702,100.00000000000001,NA,NA,5.28501858329144e-10,2.146255919079883,3.6052454997462666,0,0,NA,NA,0,0,0,0,100,2015-07-28,2015-08-14,2015-08-11,2015-08-14
CZ0210047,Třemšín a Hřebence,9110,63.824335109124114,2.6466429374438647,2.1326995037451257,1.7858272444629684,2.303956916316462,2.1377231638148935,77.58699601660061,1.443667807047772,0,4.6533714102308795e-10,37.995569793773086,49.51938433873795,2.7348332548923167,4.284938104277022,0.00420997587321021,0.006596192292504377,2.739043230765527,4.291534296569526,0,0,99.9934038077075,2015-07-23,2015-08-14,2015-07-31,2015-07-28
CZ0210047,Třemšín a Hřebence,9180,5.508774859332375,1.570094435365172,2,1.080170932293531,2.919829067706469,1.570094435365172,100,2,0,3.122161414377561e-10,3.2794550744332573,5.508774859332375,0,0,0,0,0,0,0,0,100,2015-07-28,2015-08-14,2015-08-02,2015-07-28
CZ0420460,Třtěnské stráně,6210,4.531711270427131,1.318084089318177,1.3180840893181769,2,1.318084089318177,1.3180840893181769,100,NA,NA,3.328675635486839e-10,36.07012199755077,4.531711270427131,0,0,NA,NA,0,0,0,0,99.99999999999999,2013-07-16,2013-07-16,2013-07-16,2013-07-16
CZ0624098,Turold,8310,0.005779433287930442,1,3,2,1,1,100,NA,NA,3.2095327623241017e-9,0.03432332284614561,0.005779433287930442,0,0,NA,NA,0,0,0,0,100,2022-06-01,2022-06-01,2022-06-01,2022-06-01
CZ0624106,Tvořihrázský les,9170,363.681415735677,3.163081568196399,2.4658006165171273,0.8015185598804898,3.2037262195399103,2.5081490245210607,45.24875601416355,0.2777139128863884,0,2.1973871673392553e-9,24.770100200850145,164.56131647509227,121.46575376947455,33.39894438206753,31.9422630482858,8.783034179426254,153.40801681776034,42.181978561493786,0,0,91.21696582057375,2015-04-10,2024-05-13,2018-01-22,2015-04-14
CZ0624106,Tvořihrázský les,91G0,190.4755497567974,2.848786942287582,2.0805791979565558,1.1607739015731289,2.6180102414055764,2.240822121559005,66.80488318336221,0.3594972162826111,0,1.8357103046272963e-8,12.973163458858163,127.24696850789546,34.79441532203646,18.267129490615773,17.8376823260025,9.36481472229794,52.63209764803896,27.631944212913712,0,0,90.63518527770206,2015-04-11,2024-05-13,2021-03-01,2024-05-04
CZ0523290,Týnišťské Poorličí,3150,1.1329124034845517,1.548304501552023,1.5472062761729783,1.9978035492419108,1.548304501552023,1.5461080507939335,99.89017746209554,NA,NA,1.7195727917981356e-10,0.17537600595032737,1.1329124034845517,0.0012441931537412166,0.10982253790446583,NA,NA,0.0012441931537412166,0.10982253790446583,0,99.99999999999999,0,2012-05-23,2012-07-09,2012-06-07,2012-05-23
