"typ_predmetu_hodnoceni","kod_chu","nazev_chu","druh","feature_code","datum_hodnoceni_od","datum_hodnoceni_do","parametr_nazev","parametr_hodnota","parametr_limit","parametr_jednotka","stav","trend","datum_hodnoceni","oop","pracoviste","poznamka","Poznámka"
"Stanovištì","CZ0414127","Hradištì","Druhovì bohaté smilkové louky na silikátových podložích v horských oblastech (a v kontinentální Evropì v podhorských oblastech)","6230","2010-06-29","2012-05-15",132,"2",NA,"140",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Druhovì bohaté smilkové louky na silikátových podložích v horských oblastech (a v kontinentální Evropì v podhorských oblastech)","6230","2010-06-29","2012-05-15",162,NA,NA,"140",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Druhovì bohaté smilkové louky na silikátových podložích v horských oblastech (a v kontinentální Evropì v podhorských oblastech)","6230","2010-06-29","2012-05-15",136,"7,2042",NA,"druhy èerveného seznamu",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Druhovì bohaté smilkové louky na silikátových podložích v horských oblastech (a v kontinentální Evropì v podhorských oblastech)","6230","2010-06-29","2012-05-15",137,"63,6768",NA,"% rozlohy zasažené invazními druhy",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Druhovì bohaté smilkové louky na silikátových podložích v horských oblastech (a v kontinentální Evropì v podhorských oblastech)","6230","2010-06-29","2012-05-15",138,"62,0049",NA,"% rozlohy zasažené expanzivními druhy",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Druhovì bohaté smilkové louky na silikátových podložích v horských oblastech (a v kontinentální Evropì v podhorských oblastech)","6230","2010-06-29","2012-05-15",133,"100",NA,"% rozlohy v celistvém uspoøádání splòující hodnotu minimiareálu",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Druhovì bohaté smilkové louky na silikátových podložích v horských oblastech (a v kontinentální Evropì v podhorských oblastech)","6230","2010-06-29","2012-05-15",135,"76,6824",NA,"% hranice s nepøírodními biotopy",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Druhovì bohaté smilkové louky na silikátových podložích v horských oblastech (a v kontinentální Evropì v podhorských oblastech)","6230","2010-06-29","2012-05-15",134,"100",NA,"zastoupení nepøírodních biotopù v segmentech stanovištì",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Vlhkomilná vysokobylinná lemová spoleèenstva nížin a horského až alpínského stupnì","6430","2001-05-06","2024-06-17",128,"460,558",530.96,"hektary",13,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les","SDF",NA
"Stanovištì","CZ0414127","Hradištì","Vlhkomilná vysokobylinná lemová spoleèenstva nížin a horského až alpínského stupnì","6430","2001-05-06","2024-06-17",129,"2,504",2,"140",13,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les","MINIMI",NA
"Stanovištì","CZ0414127","Hradištì","Vlhkomilná vysokobylinná lemová spoleèenstva nížin a horského až alpínského stupnì","6430","2001-05-06","2024-06-17",132,"2,0088",NA,"140",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Vlhkomilná vysokobylinná lemová spoleèenstva nížin a horského až alpínského stupnì","6430","2001-05-06","2024-06-17",162,NA,NA,"140",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Vlhkomilná vysokobylinná lemová spoleèenstva nížin a horského až alpínského stupnì","6430","2001-05-06","2024-06-17",136,"10",NA,"druhy èerveného seznamu",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Vlhkomilná vysokobylinná lemová spoleèenstva nížin a horského až alpínského stupnì","6430","2001-05-06","2024-06-17",137,"79,8499",NA,"% rozlohy zasažené invazními druhy",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Vlhkomilná vysokobylinná lemová spoleèenstva nížin a horského až alpínského stupnì","6430","2001-05-06","2024-06-17",138,"57,3205",NA,"% rozlohy zasažené expanzivními druhy",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Vlhkomilná vysokobylinná lemová spoleèenstva nížin a horského až alpínského stupnì","6430","2001-05-06","2024-06-17",133,"97,2757",NA,"% rozlohy v celistvém uspoøádání splòující hodnotu minimiareálu",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Vlhkomilná vysokobylinná lemová spoleèenstva nížin a horského až alpínského stupnì","6430","2001-05-06","2024-06-17",135,"87,6182",NA,"% hranice s nepøírodními biotopy",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Vlhkomilná vysokobylinná lemová spoleèenstva nížin a horského až alpínského stupnì","6430","2001-05-06","2024-06-17",134,"78,123",NA,"zastoupení nepøírodních biotopù v segmentech stanovištì",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Extenzivní seèené louky nížin až podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis)","6510","2001-05-06","2024-07-02",128,"6912,2468",6988.37,"hektary",13,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les","VMB2",NA
"Stanovištì","CZ0414127","Hradištì","Extenzivní seèené louky nížin až podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis)","6510","2001-05-06","2024-07-02",129,"2,5647",2,"140",13,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les","MINIMI",NA
"Stanovištì","CZ0414127","Hradištì","Extenzivní seèené louky nížin až podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis)","6510","2001-05-06","2024-07-02",132,"2,2267",NA,"140",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Extenzivní seèené louky nížin až podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis)","6510","2001-05-06","2024-07-02",162,NA,NA,"140",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Extenzivní seèené louky nížin až podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis)","6510","2001-05-06","2024-07-02",136,"10",NA,"druhy èerveného seznamu",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
