ROK;kod_chu;NAZEV;DRUH;SKUPINA;KOD_LOKAL;NAZEV_LOK;POLE;pracoviste;oop;HODNOCENE_OBDOBI_OD;HODNOCENE_OBDOBI_DO;ID_ND_AKCE;DATUM;CILMON;ID_IND;JEDNOTKA;TYP_IND;IND_GRP;KLIC;UROVEN;LIM_IND;LIM_INDLIST;HOD_IND;STAV_IND;ID_ND_LOK
2014;CZ0214003;Zlatý kůň;Rhinolophus hipposideros;Letouni;Koněpruské jeskyně;Koněpruské jeskyně;6050c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2000-01-25;2026-01-20;9371264;2014-01-29;1;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;5668046
2014;CZ0214003;Zlatý kůň;Rhinolophus hipposideros;Letouni;Koněpruské jeskyně;Koněpruské jeskyně;6050c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2000-01-25;2026-01-20;9371264;2014-01-29;1;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;5668046
2014;CZ0214003;Zlatý kůň;Rhinolophus hipposideros;Letouni;Koněpruské jeskyně;Koněpruské jeskyně;6050c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2000-01-25;2026-01-20;9371264;2014-01-29;1;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;5668046
2024;CZ0214003;Zlatý kůň;Rhinolophus hipposideros;Letouni;Koněprusy - Bonzákova slůj;Koněprusy - Bonzákova slůj;6050c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2024-03-17;2024-03-17;12835098;2024-03-17;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;9684984
2024;CZ0214003;Zlatý kůň;Rhinolophus hipposideros;Letouni;Koněprusy - Bonzákova slůj;Koněprusy - Bonzákova slůj;6050c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2024-03-17;2024-03-17;12835098;2024-03-17;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;9684984
2024;CZ0214003;Zlatý kůň;Rhinolophus hipposideros;Letouni;Koněprusy - Bonzákova slůj;Koněprusy - Bonzákova slůj;6050c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2024-03-17;2024-03-17;12835098;2024-03-17;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;9684984
2025;CZ0214003;Zlatý kůň;Rhinolophus hipposideros;Letouni;NPP Zlatý kůň, Koněpruské jeskyně;NPP Zlatý kůň, Koněpruské jeskyně;6050c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2025-04-10;2025-04-10;14087885;2025-04-10;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;11142875
2025;CZ0214003;Zlatý kůň;Rhinolophus hipposideros;Letouni;NPP Zlatý kůň, Koněpruské jeskyně;NPP Zlatý kůň, Koněpruské jeskyně;6050c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2025-04-10;2025-04-10;14087885;2025-04-10;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;11142875
2025;CZ0214003;Zlatý kůň;Rhinolophus hipposideros;Letouni;NPP Zlatý kůň, Koněpruské jeskyně;NPP Zlatý kůň, Koněpruské jeskyně;6050c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2025-04-10;2025-04-10;14087885;2025-04-10;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;11142875
2016;CZ0214003;Zlatý kůň;Rhinolophus hipposideros;Letouni;jeskyně Zlomená;jeskyně Zlomená;6050c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2016-02-02;2016-02-02;9639714;2016-02-02;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;998552
2016;CZ0214003;Zlatý kůň;Rhinolophus hipposideros;Letouni;jeskyně Zlomená;jeskyně Zlomená;6050c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2016-02-02;2016-02-02;9639714;2016-02-02;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;998552
2016;CZ0214003;Zlatý kůň;Rhinolophus hipposideros;Letouni;jeskyně Zlomená;jeskyně Zlomená;6050c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2016-02-02;2016-02-02;9639714;2016-02-02;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;998552
